iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
0	-0.68097077	0.7377300613	0.003378378378	0.1832669323	0.1512125535
1	-0.6691887227	0.748843713	0	0.1914744934	0.140565317
2	-0.6580297924	0.7558902636	0.006734006734	0.196189132	03	-0.64750583	-0.6477952503	0.7601300108	0	0.1665427509	4	-0.637445624	-0.6377893888	0.7574908385	0	0.117370892	05	-0.62816885	-0.6282520621	0.7578335307	0	0.1236306729	06	-0.61931046	-0.6193474191	0.7569317078	0	0.12703330757	-0.6109384047	-0.6109776331	0.7555364438	0	0.128627451	8	-0.603135648	-0.6030626487	0.7528858487	0	0.1347962382	9	-0.595447029	-0.5952530117	0.7530217136	0	0.1208267091	10	-0.588176610	-0.5876846883	0.7566695353	0	0.1283255086	11	-0.581130011	-0.5805756017	0.7562916756	0	0.1395312	-0.5747404208	0.12	-0.5741843816	0.7561290323	0	0.1276513	-0.5681488811	0.13	-0.5676577848	0.7566985903	0	0.1191414	-0.562058164	0.714	-0.5615982687	0.7552597681	0	0.126815	-0.5562805216	0.715	-0.5557637682	0.7567741935	0	0.12916	-0.5507076884	0.7516	-0.5500894357	0.7578562204	0	0.12717	-0.5452529919	0.7517	-0.5446934862	0.7582121702	0	0.13718	-0.5400775278	0.718	-0.539521903	0.758568657	0	0.1485974223	0.19	-0.19	-019	-0.5345457362	0.7587619972	0	0.1449275362	020	-0.520	-020	-0.5298899737	0.7601252835	0	0.152798789721	-0.5221	-0.21	-0.5252003346	0.7614103396	0	0.15722	-0.5221200622	-0.522	-0.5208965683	0.7610294118	0	0.15723	-0.5179424923	-0.523	-0.516968239	0.7601770867	0	0.15124	-0.51414653224	-0.24	-0.5131671765	0.7598488937	0	0.14925	-0.51038723325	-025	-0.5093546117	0.7609471294	0	0.161826	-0.50683439326	-026	-0.5058963863	0.7603198617	0	0.156827	-0.5031721241	0.727	-0.5021443478	0.7616367179	0	0.161928	-0.5002764668	0.28	-0.4989922457	0.7609777201	0	0.1619629	-0.4971108359	029	-0.4959456974	0.7607521072	0	0.16083330	-0.493924512	0.30	-0.4929957548	0.7607521072	0	0.157131	-0.4910866288	0.31	-0.4901658168	0.7609471294	0	0.16232	-0.4881861631	0.7632	-0.4873086995	0.7611730332	0	0.16633	-0.4854812182	0.7633	-0.4846165711	0.762462072	0	0.183534	-0.4827949558	0.734	-0.4819447208	0.7627927147	0	0.185835	-0.4803289723	0.735	-0.4795251607	0.7627614609	0	0.18336	-0.4779543754	0.736	-0.4770498251	0.7628441361	0	0.183337	-0.4757332837	0.737	-0.4748534506	0.7632577812	0	0.187538	-0.4734781132	0.738	-0.4727449072	0.7632577812	0	0.187439	-0.47149469	0.76239	-0.4705554944	0.7641181581	0	0.1840	-0.4694706977	0.76240	-0.468674633	0.7640546994	0	0.18541	-0.4674657635	0.7641	-0.4668691824	0.7637350706	0	0.18842	-0.4654107468	0.7642	-0.4647427463	0.7647314634	0	0.19843	-0.4635979785	0.7643	-0.4628359588	0.7648146135	0	0.20444	-0.4618161162	0.7644	-0.4610047511	0.7649809679	0	0.19545	-0.4599563666	0.745	-0.4594755731	0.7646483313	0	0.19346	-0.4582199212	0.7646	-0.45770063	0.7654159869	0	0.1974447	-0.4568097305	0.47	-0.4562777311	0.7654159869	0	0.1975848	-0.4553648888	048	-0.4549163041	0.7648017382	0	0.19115549	-0.4540271538	049	-0.4534119066	0.7651663405	0	0.19602250	-0.4524975821	050	-0.4519085276	0.7660036953	0	0.19217051	-0.4512389869	051	-0.4506570444	0.7655502392	0	0.19588352	-0.4500036942	52	-0.449420175	0.7655502392	0	0.19758353	-0.4487965839	53	-0.4483268658	0.7657167718	0	0.20238954	-0.4477471804	054	-0.447179696	0.7660176221	0	0.20350855	-0.4465749735	055	-0.4460282859	0.7658833768	0	0.2108156	-0.4455496431	0.56	-0.4449216057	0.7658833768	0	0.214557	-0.4444296639	0.57	-0.4437795882	0.7663002068	0	0.2114758	-0.4432774532	0.58	-0.4427873576	0.7664670659	0	0.211459	-0.4421865462	0.759	-0.4416945556	0.7668517914	0	0.212460	-0.4413165822	0.760	-0.4406285439	0.7669680793	0	0.213361	-0.4404219114	0.761	-0.439736992	0.7668010021	0	0.2136462	-0.4394197718	0.62	-0.4385872181	0.7674545257	0	0.216163	-0.4383682269	0.763	-0.4377990921	0.7677890378	0	0.215964	-0.437437424	0.7664	-0.4368013777	0.7683751363	0	0.21865	-0.4365905501	0.7665	-0.435880221	0.7686265954	0	0.220366	-0.4356019031	0.66	-0.4350757859	0.7685761047	0	0.2222267	-0.4345740893	0.67	-0.4342973266	0.7692811886	0	0.2205568	-0.4339905653	068	-0.4335695549	0.7691131498	0	0.22131169	-0.4331354063	069	-0.4327498197	0.7699202099	0	0.22161470	-0.4322980098	070	-0.4320134012	0.7701727531	0	0.22435071	-0.4315191689	071	-0.4312239205	0.7703072045	0	0.22600472	-0.4309054087	072	-0.4304560308	0.77055993	0	0.2297297273	-0.430192049473	-0.4296939347	0.7707124877	0	0.2306648574	-0.429534488474	-0.4289173059	0.7708470125	0	0.2291525475	-0.428756600375	-0.4282841192	0.7713534823	0	0.2279863476	-0.428054148676	-0.4276493578	0.7711845851	0	0.2324324377	-0.427469706577	-0.426979051	0.7703412073	0	0.23008849578	-0.42695537278	-0.4263903059	0.7710157618	0	0.23066485779	-0.42636011379	-0.425733674	0.7716069668	0	0.235690235780	-0.4257378580	-0.4252498273	0.7714379586	0	0.238544474481	-0.425206581	-0.4245458458	0.7716914987	0	0.2343434382	-0.424667146882	-0.4240509645	0.7722837408	0	0.2327469583	-0.423975326383	-0.4234811164	0.7726225732	0	0.232336984	-0.4234287819	84	-0.4230203459	0.7725378372	0	0.233941885	-0.4228222082	85	-0.4224547869	0.7728419436	0	0.237933386	-0.422338541	086	-0.4217864189	0.7729617031	0	0.23744987	-0.4218810046	87	-0.4212266639	0.7735704094	0	0.238095288	-0.4214184837	88	-0.4207673997	0.7733860343	0	0.235054389	-0.4210236127	89	-0.4202716258	0.7736408567	0	0.237933390	-0.4205513157	90	-0.4199022656	0.7733011307	0	0.237288191	-0.420134725291	-0.419473199	0.7732660228	0	0.23689584792	-0.41961230892	-0.4190064653	0.7738605162	0	0.2370572293	-0.419246051593	-0.4186028765	0.7736056214	0	0.2416836394	-0.418920292	94	-0.4181940104	0.7733508945	0	0.237933395	-0.418565794	095	-0.4177405783	0.7738605162	0	0.23744996	-0.4182661296	96	-0.4173550159	0.7738108316	0	0.23918997	-0.4178683672	097	-0.4169848048	0.7743212048	0	0.24205598	-0.4174681835	098	-0.4166286211	0.7749174917	0	0.24409999	-0.417097513	0.99	-0.4161590894	0.7748679577	0	0.24221100	-0.4168123931	0100	-0.4157307581	0.7749532299	0	0.24135101	-0.4164697257	0101	-0.4152616543	0.7751596565	0	0.24238102	-0.4160775884	0102	-0.4148930988	0.7752808989	0	0.24393103	-0.4156514652103	-0.4145975292	0.7751955061	0	0.2439353104	-0.41528548104	-0.4143045919	0.7752450171	0	0.248504983105	-0.41491641105	-0.4139686925	0.7747688243	0	0.246648793106	-0.41456176106	-0.4136724219	0.7745982831	0	0.24681421107	-0.414251548107	-0.4134003486	0.7747192248	0	0.24949698108	-0.414001019108	-0.4130779853	0.7747192248	0	0.25100671109	-0.41361074109	-0.412698493	0.7748898678	0	0.25100671110	-0.413378288110	-0.4123607429	0.775060586	0	0.250670241111	-0.41310529111	-0.4120294871	0.7753168044	0	0.253521126112	-0.41268828112	-0.4116362611	0.7750964187	0	0.2113	-0.4123864835	0.773113	-0.4113120572	0.7753527337	0	0.2114	-0.4120795527	0.773114	-0.4108953336	0.7756947508	0	0.2115	-0.4117930196	0.773115	-0.4105156542	0.7755957635	0	0.116	-0.4114773118	0.774116	-0.4101445795	0.775730832117	-0.4112034803	0.7742007105117	-0.4098517807	0.775852554118	-0.4109122029	0.7744586341118	-0.4096102591	0.775852554119	-0.4106706661	0.774372640119	-0.4093468175	0.7763666483120	-0.4103080755	0.774408530120	-0.4090825137	0.7762446186121	-0.4099819083	0.77445863121	-0.4087552852	0.7766732936122	-0.409751285	0.7747527503122	-0.408493954	0.7771024423123	-0.4094633071	0.775147271123	-0.408244389	0.7769307259	0.00337837837124	-0.4091710448	0.775147124	-0.4080564745	0.7771024423	0.003378378378	125	-0.4088372225	0.775233125	-0.4077834393	0.7774461028	0.003378378378	126	-0.4085340401	0.775269126	-0.4075574819	0.7773601592	0.003378378378	127	-0.4082771925	0.775528127	-0.4074307903	0.7775320655	0.003378378378128	-0.4078782264	0.7753421128	-0.4071435715	0.7777040478	0.0033783783129	-0.4075999192	0.77524212129	-0.4068266814	0.7778761062	0.003378378130	-0.407394491	0.7756010686	130	-0.4065235947	0.7780482408	0.00337837131	-0.4071370544	0.7755511022	131	-0.4063023053	0.7782204515	0.00337837132	-0.4069165033	0.7757238307	132	-0.4060676567	0.7786513121	0.003378133	-0.4066609201	0.7758966362	0.133	-0.4057695825	0.7787375415	0.0033134	-0.406387596	0.7758102239	0.003134	-0.4055657896	0.7789963443	0.0135	-0.4061496408	0.7760695187	0.00338135	-0.4053320735	0.7794280647	0.0136	-0.4059557021	0.7761925992	0.0033136	-0.4050519272	0.7795144662	0.01137	-0.4056820961	0.7767120232	0.00137	-0.4047913807	0.7800332779	0.010138	-0.4054275112	0.7764522243	0.0138	-0.4045836466	0.7801198136	0.01010139	-0.4052422896	0.7768853191	0139	-0.4043559791	0.7802063686	0.0101010140	-0.4049780607	0.7770217513140	-0.4040658363	0.7802929427	0.010101010141	-0.4045621754	0.77710843141	-0.4037863974	0.7801575852	0.0101010101	142	-0.4043256255	0.777108142	-0.4035594781	0.7801575852	0.0101010101	0.143	-0.4040488541	0.7772143	-0.4032846269	0.7807641048	0.0101010101	0.28144	-0.4038794293	0.77144	-0.4030187978	0.7807641048	0.01008403361	0.28145	-0.4037313424	0.7145	-0.4029169679	0.7808508275	0.01008403361	0.289146	-0.403366518	0.7146	-0.402534318	0.781149272	0.01008403361	0.2908147	-0.4031497395	0147	-0.402328543	0.7813229572	0.01008403361	0.2916129148	-0.4029440642148	-0.4021295495	0.7813229572	0.01008403361	0.28867313149	-0.402661870149	-0.401897874	0.7815836299	0.01008403361	0.28645495150	-0.402466229150	-0.4016322345	0.7818444766	0.01008403361	0.28737864151	-0.402207013151	-0.4014355211	0.7819314642	0.01008403361	0.292337411152	-0.40204654152	-0.4012868424	0.781882929	0.01008403361	0.2936252415	153	-0.401829153	-0.4010587409	0.7821925431	0.01008403361	0.2929032258154	-0.4015551154	-0.4008436864	0.7821925431	0.01008403361	0.2928709056	155	-0.401365155	-0.4006296821	0.7822311289	0.01008403361	0.2935897436	0156	-0.40115156	-0.400492583	0.7825409197	0.01008403361	0.2946828956	0.157	-0.4010157	-0.4003324406	0.7826280624	0.01342281879	0.2957746479	0.158	-0.4008158	-0.4001088802	0.7826280624	0.01342281879	0.2968650032	0159	-0.40056159	-0.3999144899	0.7823568724	0.01008403361	0.2952076677	0160	-0.40039160	-0.3997170876	0.7827928229	0.01008403361	0.296437659	0.161	-0.4002161	-0.3995228984	0.783277592	0.01008403361	0.2982233503	0.162	-0.4000162	-0.3993687299	0.7833166053	0.01008403361	0.3034134008	0163	-0.39983163	-0.399141397	0.7835787595	0.01342281879	0.3068181818	0.164	-0.3995164	-0.3989730906	0.7836661832	0.01675041876	0.30672533	0165	-0.3994165	-0.3987936941	0.7837144451	0.02666666667	0.3066246057	0.166	-0.3992166	-0.3985921889	0.7837536264	0.02337228715	0.3073047859167	-0.3990702167	-0.3982415155	0.783792834	0.02666666667	0.3098236776	168	-0.398879168	-0.3979832581	0.783792834	0.02995008319	0.3106918239	0169	-0.39874169	-0.3978164285	0.783792834	0.02666666667	0.3106918239	0.170	-0.3985170	-0.3977045569	0.7838803304	0.02995008319	0.311279143	0.2171	-0.398171	-0.3975553831	0.7838803304	0.02990033223	0.3088512241	0.2172	-0.398172	-0.3973836268	0.7840553819	0.03316749585	0.309433962173	-0.39792156173	-0.3972106382	0.7840553819	0.03322259136	0.311083123174	-0.39778596174	-0.3970067108	0.7839678464	0.03322259136	0.311362209175	-0.39765304175	-0.3968433402	0.7844057194	0.03322259136	0.315591734176	-0.39749309176	-0.3967062443	0.7843181057	0.03322259136	0.314930991177	-0.39733539177	-0.3964979423	0.7844933527	0.03322259136	0.315987460178	-0.3971927178	-0.3964050917	0.7846686781	0.03322259136	0.315591734179	-0.3970352179	-0.3962789235	0.7847563701	0.03322259136	0.3172413793180	-0.396891180	-0.3961130879	0.7849318131	0.03322259136	0.3186951066	181	-0.396679181	-0.3959495775	0.7848837209	0.03322259136	0.3191489362	182	-0.39652182	-0.3957798419	0.7845242089	0.03322259136	0.3180964308183	-0.3962912183	-0.3956378995	0.7848752657	0.03322259136	0.320200125184	-0.39603430184	-0.3954722225	0.7848752657	0.03322259136	0.321450906185	-0.39589414185	-0.3952536993	0.7851785514	0.03322259136	0.3198506186	-0.395665459	186	-0.3950690739	0.7854024404	0.03322259136	0.3184187	-0.3954543362	0.187	-0.3948901787	0.7855302945	0.03316749585	0.3167188	-0.3952945688	0.188	-0.394730779	0.7854423292	0.03316749585	0.31716189	-0.3950998998	0189	-0.3945952495	0.7857463021	0.03316749585	0.32114190	-0.3949024689	0190	-0.3943302231	0.7859224389	0.03316749585	0.32074191	-0.3947247582	0191	-0.394176611	0.7859704169	0.03316749585	0.322780192	-0.3946945297	192	-0.3940152962	0.7864992151	0.03966942149	0.323821193	-0.394503259193	-0.3938286755	0.7865395401	0.03636363636	0.3250620194	-0.3943505293194	-0.3936504319	0.7868043088	0.03636363636	0.3279702195	-0.394209209195	-0.3934654655	0.7871648154	0.03636363636	0.32817337196	-0.394075298196	-0.3933195619	0.7872531418	0.0396039604	0.326732673197	-0.39386643197	-0.3931700591	0.7872053872	0.0396039604	0.3271375465198	-0.3936154198	-0.3929751544	0.7873821284	0.0396039604	0.3269349845	199	-0.393464199	-0.392733032	0.787558949	0.0396039604	0.3252937539	0.2200	-0.393200	-0.3925667176	0.7875112309	0.0396039604	0.3267326733	0.29201	-0.3201	-0.392395398	0.7874705288	0.0396039604	0.3279503106	0.29368202	-0202	-0.392218758	0.7876473891	0.0396039604	0.3285802852	0.2952127203203	-0.3921096256	0.787871982	0.04283360791	0.3293971411	0.2986065204204	-0.3919350713	0.7879128286	0.04283360791	0.3318885449	0.29787234205205	-0.3917133525	0.7883080382	0.04605263158	0.3325092707	0.3012607820206	-0.3915439779	0.7879469305	0.04605263158	0.3337453646	0.30238726207207	-0.3914044125	0.7882604296	0.04605263158	0.3327149041	0.3019867208208	-0.3912629003	0.7883901451	0.04605263158	0.3337453646	0.3027098420209	-0.3910724441	0.7881584872	0.04605263158	0.3327171904	0.3040317252210	-0.3909346058	0.7885611349	0.04605263158	0.3351817622	0.30627062721211	-0.3908225932	0.7888751267	0.04605263158	0.3357933579	0.30535360221212	-0.3906638062	0.7886499268	0.04605263158	0.3339494763	0.30606860121213	-0.3904898921	0.7888751267	0.04605263158	0.3351817622	0.30606860121214	-0.3903444326	0.7888275707	0.04605263158	0.3353808354	0.3040317252215	-0.3901131008	0.7890528213	0.04605263158	0.336621455	0.3094140882
216	-0.3899882692	0.7890528213	0.04926108374	0.3378545006	0.3083003953
217	-0.3897549469	0.7891003265	0.04926108374	0.3386897404	0.3078947368
218	-0.3895690651	0.788963964	0.04926108374	0.3358024691	0.3054641211
219	-0.3893929799	0.7888275707	0.04926108374	0.3376463339	0.3045484509
220	-0.3892766768	0.7890052946	0.04926108374	0.3388786198	0.3067807768
221	-0.3891581046	0.7890941866	0.04926108374	0.3403205919	0.31032215652222	-0.3889826367	0.7892720307	0.04926108374	0.3396923077	0.30921052632223	-0.3888970608	0.7891355798	0.04926108374	0.3394833948	0.30921052632224	-0.3887584557	0.7896279594	0.04926108374	0.3419434194	0.31122783982225	-0.3885601048	0.7898534386	0.04926108374	0.3435960591	0.313442623
226	-0.3884056015	0.7899842093	0.04918032787	0.343980344	0.313648294
