iter	MultiClassOneVsAll	MultiClassOneVsAll
0	-0.6808029913	-0.6808029913
1	-0.6692151988	-0.6692151988
2	-0.658045135	-0.658045135
3	-0.6474738798	-0.6474738798
4	-0.6373153173	-0.6373153173
5	-0.6278377364	-0.6278377364
6	-0.6189582209	-0.6189582209
7	-0.610440445	-0.610440445
8	-0.6023775603	-0.6023775603
9	-0.5947322018	-0.5947322018
10	-0.5874371722	-0.5874371722
11	-0.5805857945	-0.5805857945
12	-0.57370546	-0.57370546
13	-0.567322896	-0.567322896
14	-0.561052689	-0.561052689
15	-0.5553755908	-0.5553755908
16	-0.5500252271	-0.5500252271
17	-0.5446700694	-0.5446700694
18	-0.53959022	-0.53959022
19	-0.5347036371	-0.5347036371
20	-0.5301336728	-0.5301336728
21	-0.5257068523	-0.5257068523
22	-0.5216272409	-0.5216272409
23	-0.5176091531	-0.5176091531
24	-0.513714634	-0.513714634
25	-0.5101208891	-0.5101208891
26	-0.5064840113	-0.5064840113
27	-0.5029911686	-0.5029911686
28	-0.4997407575	-0.4997407575
29	-0.4967016878	-0.4967016878
30	-0.4935861954	-0.4935861954
31	-0.490820396	-0.490820396
32	-0.4880643041	-0.4880643041
33	-0.4854474971	-0.4854474971
34	-0.4827719434	-0.4827719434
35	-0.4803885161	-0.4803885161
36	-0.4780944183	-0.4780944183
37	-0.4758343645	-0.4758343645
38	-0.4736839975	-0.4736839975
39	-0.4717825369	-0.4717825369
40	-0.4696132762	-0.4696132762
41	-0.4675389598	-0.4675389598
42	-0.4657685339	-0.4657685339
43	-0.4637965873	-0.4637965873
44	-0.4620231974	-0.4620231974
45	-0.4601900092	-0.4601900092
46	-0.458384654	-0.458384654
47	-0.456718616	-0.456718616
48	-0.4552381745	-0.4552381745
49	-0.4538018501	-0.4538018501
50	-0.4522895425	-0.4522895425
51	-0.450946368	-0.450946368
52	-0.4497795026	-0.4497795026
53	-0.4485829513	-0.4485829513
54	-0.4473938268	-0.4473938268
55	-0.4462931898	-0.4462931898
56	-0.4450142644	-0.4450142644
57	-0.443842936	-0.443842936
58	-0.4427396188	-0.4427396188
59	-0.4415813978	-0.4415813978
60	-0.4405438492	-0.4405438492
61	-0.4395785179	-0.4395785179
62	-0.4385822575	-0.4385822575
63	-0.4377737356	-0.4377737356
64	-0.4370288253	-0.4370288253
65	-0.4363390627	-0.4363390627
66	-0.4355232442	-0.4355232442
67	-0.4346140305	-0.4346140305
68	-0.4338458138	-0.4338458138
69	-0.4332017576	-0.4332017576
70	-0.4324356511	-0.4324356511
71	-0.4318467974	-0.4318467974
72	-0.4312183972	-0.4312183972
73	-0.4305060506	-0.4305060506
74	-0.4299069101	-0.4299069101
75	-0.4294788906	-0.4294788906
76	-0.4289156686	-0.4289156686
77	-0.4283592031	-0.4283592031
78	-0.427689578	-0.427689578
79	-0.4271355017	-0.4271355017
80	-0.4267738198	-0.4267738198
81	-0.4262763782	-0.4262763782
82	-0.4257888037	-0.4257888037
83	-0.4252723882	-0.4252723882
84	-0.4246805103	-0.4246805103
85	-0.4240338414	-0.4240338414
86	-0.4235336125	-0.4235336125
87	-0.4231162796	-0.4231162796
88	-0.4226380999	-0.4226380999
89	-0.4221455093	-0.4221455093
90	-0.421556188	-0.421556188
91	-0.421109593	-0.421109593
92	-0.4206202787	-0.4206202787
93	-0.4202722571	-0.4202722571
94	-0.4197434813	-0.4197434813
95	-0.4192818842	-0.4192818842
96	-0.418844697	-0.418844697
97	-0.4184638211	-0.4184638211
98	-0.4180031865	-0.4180031865
99	-0.4176265995	-0.4176265995
100	-0.417319672	-0.417319672
101	-0.4168656507	-0.4168656507
102	-0.4165624563	-0.4165624563
103	-0.4163604969	-0.4163604969
104	-0.4159760885	-0.4159760885
105	-0.4156807629	-0.4156807629
106	-0.415333749	-0.415333749
107	-0.4150812625	-0.4150812625
108	-0.4146344008	-0.4146344008
109	-0.4143424123	-0.4143424123
110	-0.4139999989	-0.4139999989
111	-0.4135626959	-0.4135626959
112	-0.4132794911	-0.4132794911
113	-0.4129775868	-0.4129775868
114	-0.4126339412	-0.4126339412
115	-0.4122633592	-0.4122633592
116	-0.411866978	-0.411866978
117	-0.4115943829	-0.4115943829
118	-0.4114085956	-0.4114085956
119	-0.4109599592	-0.4109599592
120	-0.4106648116	-0.4106648116
121	-0.4104425019	-0.4104425019
122	-0.4100551414	-0.4100551414
123	-0.4097822938	-0.4097822938
124	-0.4094428015	-0.4094428015
125	-0.4091074936	-0.4091074936
126	-0.4087955957	-0.4087955957
127	-0.4084277639	-0.4084277639
128	-0.4081616186	-0.4081616186
129	-0.4079547258	-0.4079547258
130	-0.4076739395	-0.4076739395
131	-0.407502841	-0.407502841
132	-0.4072645563	-0.4072645563
133	-0.4070573069	-0.4070573069
134	-0.4068632651	-0.4068632651
135	-0.406651116	-0.406651116
136	-0.4064060423	-0.4064060423
137	-0.4061345325	-0.4061345325
138	-0.4058310296	-0.4058310296
139	-0.4055770289	-0.4055770289
140	-0.4053452329	-0.4053452329
141	-0.4050784037	-0.4050784037
142	-0.4048530521	-0.4048530521
143	-0.4046205499	-0.4046205499
144	-0.4043416384	-0.4043416384
145	-0.4041594378	-0.4041594378
146	-0.4039582294	-0.4039582294
147	-0.4037744687	-0.4037744687
148	-0.4034329309	-0.4034329309
149	-0.4032153719	-0.4032153719
150	-0.4029811593	-0.4029811593
151	-0.4027457338	-0.4027457338
152	-0.4024850403	-0.4024850403
153	-0.4022456663	-0.4022456663
154	-0.401958101	-0.401958101
155	-0.4017690749	-0.4017690749
156	-0.4015470083	-0.4015470083
157	-0.4013047702	-0.4013047702
158	-0.4011173857	-0.4011173857
159	-0.4009843411	-0.4009843411
160	-0.4007087628	-0.4007087628
161	-0.4005147009	-0.4005147009
162	-0.4003641019	-0.4003641019
163	-0.4002197073	-0.4002197073
164	-0.4000107887	-0.4000107887
165	-0.3998655441	-0.3998655441
166	-0.3996811288	-0.3996811288
167	-0.399498364	-0.399498364
168	-0.3993477805	-0.3993477805
169	-0.3991830559	-0.3991830559
170	-0.3990143637	-0.3990143637
171	-0.3988164367	-0.3988164367
172	-0.3986384615	-0.3986384615
173	-0.398548773	-0.398548773
174	-0.3983512747	-0.3983512747
175	-0.398189004	-0.398189004
176	-0.3979980523	-0.3979980523
177	-0.3978865019	-0.3978865019
178	-0.3977255979	-0.3977255979
179	-0.3976061504	-0.3976061504
180	-0.3974427305	-0.3974427305
181	-0.3972251624	-0.3972251624
182	-0.3969682772	-0.3969682772
183	-0.3968011634	-0.3968011634
184	-0.3965640301	-0.3965640301
185	-0.3964175438	-0.3964175438
186	-0.3962508652	-0.3962508652
187	-0.3961224028	-0.3961224028
188	-0.3959772512	-0.3959772512
189	-0.395788908	-0.395788908
190	-0.3956032615	-0.3956032615
191	-0.3954579648	-0.3954579648
192	-0.3953475816	-0.3953475816
193	-0.395173728	-0.395173728
194	-0.3949942971	-0.3949942971
195	-0.3948206855	-0.3948206855
196	-0.3947185868	-0.3947185868
197	-0.3946143266	-0.3946143266
198	-0.3944156545	-0.3944156545
199	-0.3943087128	-0.3943087128
200	-0.3941653485	-0.3941653485
201	-0.3940097214	-0.3940097214
202	-0.3939101788	-0.3939101788
203	-0.3937861552	-0.3937861552
204	-0.3936436436	-0.3936436436
205	-0.3935144664	-0.3935144664
206	-0.3933191776	-0.3933191776
207	-0.3931653938	-0.3931653938
208	-0.39304797	-0.39304797
209	-0.3929149197	-0.3929149197
210	-0.3928119741	-0.3928119741
211	-0.3927150139	-0.3927150139
212	-0.3925363109	-0.3925363109
213	-0.3924553201	-0.3924553201
214	-0.3923030945	-0.3923030945
215	-0.3922173234	-0.3922173234
216	-0.3920584687	-0.3920584687
217	-0.391920299	-0.391920299
218	-0.3917211721	-0.3917211721
219	-0.3916141608	-0.3916141608
220	-0.3914737965	-0.3914737965
221	-0.3913491489	-0.3913491489
222	-0.3911616827	-0.3911616827
223	-0.3910683001	-0.3910683001
224	-0.3909058105	-0.3909058105
225	-0.3908040961	-0.3908040961
226	-0.3906678728	-0.3906678728
227	-0.3905421739	-0.3905421739
228	-0.3904017097	-0.3904017097
229	-0.3902325996	-0.3902325996
230	-0.3900355318	-0.3900355318
231	-0.3899292164	-0.3899292164
232	-0.3897706468	-0.3897706468
233	-0.3896703828	-0.3896703828
234	-0.389560379	-0.389560379
235	-0.3893959154	-0.3893959154
236	-0.389173594	-0.389173594
237	-0.3890497	-0.3890497
238	-0.388922828	-0.388922828
239	-0.3887888754	-0.3887888754
240	-0.3886788079	-0.3886788079
241	-0.3885950334	-0.3885950334
242	-0.3885165172	-0.3885165172
243	-0.3884297594	-0.3884297594
244	-0.3883039759	-0.3883039759
245	-0.3881286042	-0.3881286042
246	-0.3880046434	-0.3880046434
247	-0.3879166662	-0.3879166662
248	-0.3877315439	-0.3877315439
249	-0.3876176897	-0.3876176897
250	-0.3875102145	-0.3875102145
251	-0.387329631	-0.387329631
252	-0.3872497676	-0.3872497676
253	-0.3870944697	-0.3870944697
254	-0.3869695101	-0.3869695101
255	-0.3868324796	-0.3868324796
256	-0.3867039315	-0.3867039315
257	-0.3865620222	-0.3865620222
258	-0.3863977846	-0.3863977846
259	-0.3863121421	-0.3863121421
260	-0.3861630934	-0.3861630934
261	-0.3860289614	-0.3860289614
262	-0.385898025	-0.385898025
263	-0.3857953596	-0.3857953596
264	-0.3856787185	-0.3856787185
265	-0.3855963458	-0.3855963458
266	-0.3854723794	-0.3854723794
267	-0.3853372735	-0.3853372735
268	-0.3851900993	-0.3851900993
269	-0.3850302824	-0.3850302824
270	-0.3849442808	-0.3849442808
271	-0.3848170273	-0.3848170273
272	-0.3846926241	-0.3846926241
