iter	Passed	Remaining
0	88	4341
1	161	3879
2	230	3607
3	326	3758
4	412	3709
5	486	3564
6	544	3347
7	615	3231
8	682	3109
9	750	3001
10	817	2897
11	889	2817
12	966	2751
13	1053	2708
14	1111	2594
15	1181	2511
16	1254	2435
17	1321	2350
18	1393	2274
19	1471	2207
20	1554	2146
21	1621	2064
22	1691	1985
23	1754	1900
24	1809	1809
25	1882	1737
26	1952	1662
27	2010	1579
28	2069	1498
29	2130	1420
30	2197	1346
31	2266	1275
32	2319	1194
33	2388	1123
34	2453	1051
35	2508	975
36	2574	904
37	2637	832
38	2688	758
39	2750	687
40	2812	617
41	2874	547
42	2939	478
43	3001	409
44	3070	341
45	3142	273
46	3211	204
47	3277	136
48	3341	68
49	3394	0
