iter	MultiClassOneVsAll	MultiClassOneVsAll
0	-0.6804873615	-0.6804873615
1	-0.6685932282	-0.6685932282
2	-0.657245143	-0.657245143
3	-0.6467993975	-0.6467993975
4	-0.6365676612	-0.6365676612
5	-0.6269188031	-0.6269188031
6	-0.6178865396	-0.6178865396
7	-0.6092686232	-0.6092686232
8	-0.6010855312	-0.6010855312
9	-0.5931698413	-0.5931698413
10	-0.5858014423	-0.5858014423
11	-0.5789041985	-0.5789041985
12	-0.5721446368	-0.5721446368
13	-0.5658566615	-0.5658566615
14	-0.5598784486	-0.5598784486
15	-0.5540723595	-0.5540723595
16	-0.5484600782	-0.5484600782
17	-0.5432333938	-0.5432333938
18	-0.5380131257	-0.5380131257
19	-0.5332704234	-0.5332704234
20	-0.5289918985	-0.5289918985
21	-0.5244567978	-0.5244567978
22	-0.5200636148	-0.5200636148
23	-0.5159821338	-0.5159821338
24	-0.5121106743	-0.5121106743
25	-0.5084338237	-0.5084338237
26	-0.5050231344	-0.5050231344
27	-0.5014420972	-0.5014420972
28	-0.498069364	-0.498069364
29	-0.49504903	-0.49504903
30	-0.4921754683	-0.4921754683
31	-0.4892421152	-0.4892421152
32	-0.4863791898	-0.4863791898
33	-0.4838213475	-0.4838213475
34	-0.4812564327	-0.4812564327
35	-0.4788099092	-0.4788099092
36	-0.4763884555	-0.4763884555
37	-0.4740266414	-0.4740266414
38	-0.4718630312	-0.4718630312
39	-0.4698320638	-0.4698320638
40	-0.4679505703	-0.4679505703
41	-0.4658788371	-0.4658788371
42	-0.4639065636	-0.4639065636
43	-0.4621232851	-0.4621232851
44	-0.4602477517	-0.4602477517
45	-0.4586069159	-0.4586069159
46	-0.4569976234	-0.4569976234
47	-0.4554760039	-0.4554760039
48	-0.453947343	-0.453947343
49	-0.4524516818	-0.4524516818
50	-0.4508901202	-0.4508901202
51	-0.4496394061	-0.4496394061
52	-0.4483893869	-0.4483893869
53	-0.4472405092	-0.4472405092
54	-0.4459553937	-0.4459553937
55	-0.4446351935	-0.4446351935
56	-0.4435497973	-0.4435497973
57	-0.4425304962	-0.4425304962
58	-0.4415069467	-0.4415069467
59	-0.4403788621	-0.4403788621
60	-0.4392874	-0.4392874
61	-0.4382155741	-0.4382155741
62	-0.4371841356	-0.4371841356
63	-0.4364182947	-0.4364182947
64	-0.4356405546	-0.4356405546
65	-0.4346050683	-0.4346050683
66	-0.4336075292	-0.4336075292
67	-0.4327841741	-0.4327841741
68	-0.4321438177	-0.4321438177
69	-0.4313391947	-0.4313391947
70	-0.4306431109	-0.4306431109
71	-0.4298239915	-0.4298239915
72	-0.429159443	-0.429159443
73	-0.4283616634	-0.4283616634
74	-0.4277548387	-0.4277548387
