iter	Passed	Remaining
0	973	972052
1	1509	753426
2	1764	586266
3	2272	565916
4	2696	536504
5	3055	506138
6	3381	479634
7	3843	476604
8	4207	463328
9	4726	467938
10	5236	470813
11	5492	452212
12	5929	450203
13	6370	448682
14	6737	442417
15	7209	443387
16	7673	443716
17	8192	446960
18	8702	449317
19	9176	449650
20	9584	446842
21	10044	446519
22	10533	447442
23	10923	444231
24	11363	443158
25	11852	444016
26	12349	445026
27	12838	445677
28	13409	448986
29	13920	450091
30	14166	442818
31	14530	439553
32	15119	443047
33	15427	438313
34	16038	442202
35	16640	445603
36	17057	443957
37	17576	444970
38	17941	442105
39	18511	444280
40	18990	444195
41	19306	440374
42	19741	439354
43	20183	438542
44	20814	441735
45	21287	441474
46	21686	439737
47	22171	439737
48	22560	437848
49	23022	437421
50	23454	436433
51	23803	433960
52	24252	433346
53	24783	434166
54	25214	433233
55	25560	430871
56	25886	428254
57	26280	426838
58	26778	427096
59	27135	425130
60	27531	423805
61	28096	425066
62	28672	426445
63	29294	428435
64	29804	428720
65	30253	428130
66	30852	429628
67	31303	429046
68	31847	429706
69	32464	431309
70	32831	429589
71	33322	429490
72	34006	431837
73	34563	432513
74	34898	430411
75	35359	429893
76	35896	430294
77	36419	430493
78	36777	428765
79	37387	429959
80	37736	428144
81	38228	427976
82	38641	426922
83	38984	425119
84	39348	423570
85	39653	421438
86	40285	422770
87	40840	423259
88	41332	423081
89	41785	422496
90	42379	423331
91	42751	421943
92	43260	421909
93	43633	420553
94	44161	420697
95	44718	421102
96	45155	420362
97	45591	419625
98	46060	419198
99	46610	419491
100	47115	419377
101	47712	420056
102	48162	419432
103	48718	419730
104	49331	420493
105	49686	419050
106	50115	418250
107	50605	417964
108	51207	418587
109	51701	418313
110	52054	416907
111	52729	418067
112	53135	417090
113	53527	416010
114	54093	416283
115	54454	414984
116	55074	415648
117	55544	415171
118	56123	415501
119	56707	415858
120	57247	415872
121	57716	415366
122	58263	415423
123	58543	413581
124	58866	412064
125	59476	412559
126	60406	415232
127	60759	413920
128	61345	414203
129	61750	413255
130	62313	413359
131	62800	412960
132	63443	413576
133	63951	413295
134	64428	412819
135	64819	411797
136	65364	411746
137	65904	411661
138	66511	411985
139	66963	411350
140	67448	410912
141	67800	409668
142	68239	408962
143	68777	408842
144	69255	408368
145	69709	407751
146	70082	406669
147	70461	405628
148	70957	405265
149	71372	404443
150	71721	403255
151	72255	403110
152	72751	402749
153	73098	401565
154	73662	401578
155	73995	400332
156	74417	399579
157	74900	399155
158	75534	399522
159	76041	399219
160	76519	398756
161	76846	397512
162	77230	396574
163	77665	395904
164	78178	395628
165	78498	394385
166	79096	394534
167	79602	394219
168	80038	393562
169	80412	392602
170	80945	392417
171	81442	392060
172	82084	392390
173	82522	391743
174	83003	391302
175	83343	390199
176	83763	389478
177	84150	388604
178	84469	387428
179	84802	386323
180	85247	385733
181	85808	385667
182	86280	385198
183	86768	384800
184	87093	383683
185	87569	383236
186	88009	382631
187	88435	381967
188	88834	381190
189	89276	380598
190	8190	103137	4191	90191	103642	192	907192	104359193	9125193	10494194	91626194	105496	435509
195	106196	92755	3196	106642	434691
197	107142	433982
198	107725	433607
199	108268	433075
200	108744	432271
201	109276	431696
202	109926	431581
203	110772	432228
204	111505	432424
205	112154	432285
206	112825	432224
207	113270	431298
208	113912	431121
209	114420	430437
210	114912	429696
211	115620	429758
212	116293	429686
213	117000	429731
214	117643	429535
215	118113	428710
216	118681	428239
217	119216	427648
218	119859	427442
219	120393	426848
220	120966	426391
221	121446	425608
222	122075	425349
223	122544	424530
224	122983	423610
225	123510	422997
226	124019	422322
227	124535	421673
228	125102	421197
229	125559	420352
230	126080	419721
231	126684	419368
232	127326	419138
233	127835	418470
234	128370	417886
235	128990	417579
236	129587	417196
237	130033	416324
238	130697	416152
239	131144	415291
240	131746	414920
241	132252	414246
242	132878	413947
243	133512	413670
244	134025	413017
245	134785	413123
246	135430	412871
247	136056	412557
248	136527	411775
249	137034	411103
250	137583	410557
251	138225	410288
252	138785	409774
253	139359	409298
254	139777	408369
255	140543	408455
256	141090	407899
257	141792	407790
258	142176	406768
259	142791	406407
260	143571	406509
261	144054	405771
262	144817	405818
263	145574	405844
264	146324	405842
265	146910	405385
266	147641	405322
267	148323	405123
268	148827	404435
269	149274	403594
270	149696	402690
271	150300	402275
272	150869	401766
273	151529	401497
274	152050	400860
275	152578	400241
276	153135	399700
277	153954	399839
278	154279	398694
279	154773	397988
280	155302	397374
281	155799	396680
282	156388	396221
283	157101	396073
284	157722	395690
285	158404	395457
286	158937	394852
287	159671	394744
288	160074	393815
289	160824	393743
290	161346	393108
291	161725	392128
292	162400	391868
293	162844	391049
294	163499	390735
295	164060	390197
296	164597	389603
297	165101	388931
298	165538	388102
299	166285	387999
300	166779	387304
301	167306	386688
302	167901	386228
303	168428	385613
304	169158	385459
305	169717	384915
306	170333	384497
307	170881	383928
308	171481	383474
309	172121	383108
310	172620	382430
311	173198	381925
312	173754	381371
313	174543	381328
314	175112	380799
315	175509	379900
316	176113	379448
317	176768	379106
318	177239	378370
319	177782	377787
320	178436	377440
321	179213	377350
322	179935	377139
323	180448	376490
324	181046	376020
325	181642	375542
326	182393	375385
327	182981	374888
328	183482	374215
329	184277	374138
330	184824	373558
331	185323	372878
332	185802	372163
333	186430	371743
334	187254	371713
335	187694	370919
336	188415	370680
337	188901	369978
338	189472	369444
339	190189	369192
340	190848	368824
341	191457	368359
342	192115	367988
343	192784	367634
344	193262	366919
345	193803	366321
346	194320	365680
347	195008	365361
348	195525	364719
349	196078	364145
350	196476	363285
351	197003	362665
352	197417	361838
353	197933	361200
354	198444	360553
355	199146	360253
356	199755	359783
357	200277	359156
358	200854	358628
359	201484	358195
360	201961	357488
361	202573	357022
362	203675	357413
363	204283	356934
364	204801	356297
365	205173	355410
366	205643	354693
367	206171	354077
368	206761	353567
369	207504	353319
370	208080	352782
371	208624	352194
372	209146	351567
373	209588	350809
374	210295	350493
375	210761	349774
376	211224	349052
377	211924	348722
378	212544	348259
379	213164	347794
380	213907	347529
381	214394	346848
382	214995	346351
383	215577	345822
384	216133	345252
385	216639	344602
386	217216	344066
387	217770	343493
388	218580	343322
389	219151	342775
390	219863	342447
391	220315	341714
392	220931	341235
393	221349	340450
394	221885	339850
395	222655	339606
396	223128	338907
397	223604	338216
398	224268	337808
399	224822	337233
400	225292	336534
401	225903	336045
402	226209	335104
403	226767	334538
404	227236	333841
405	227841	333343
406	228419	332807
407	228973	332236
408	229390	331465
409	229753	330620
410	230338	330095
411	230849	329464
412	231504	329039
413	232005	328394
414	232663	327970
415	233386	327638
416	233779	326843
417	234342	326286
418	235025	325895
419	235538	325266
420	236031	324613
421	236600	324063
422	237273	323657
423	237712	322930
424	238265	322359
425	238801	321766
426	239392	321245
427	239833	320524
428	240470	320066
429	241004	319471
430	241561	318906
431	242178	318419
432	242840	317991
433	243365	317384
434	243895	316784
435	244458	316226
436	245242	315953
437	245658	315205
438	246284	314727
439	246819	314133
440	247483	313703
441	247961	313037
442	248428	312358
443	248951	311749
444	249512	311189
445	250135	310705
446	250692	310140
447	251144	309445
448	251661	308831
449	252147	308180
450	252696	307606
451	253300	307099
452	253878	306559
453	254259	305783
454	254777	305173
455	255354	304633
456	255805	303943
457	256264	303264
458	256728	302593
459	257092	301804
460	257786	301403
461	258361	300863
462	258718	300068
463	259273	299506
464	259696	298790
465	260044	2979946466	260605	2974346467	261277	297007
468	261739	2963446469	262138	2956047470	262895	2952647471	263378	29462472	276158	307685
47473	264409	29341474	277099	306268
475	277769	305779
476	278331	305172
477	278868	304538
478	279556	304069
479	280184	303533
480	280758	302939
481	281324	302336
482	281862	301703
483	282427	301100
484	282947	300449
485	283501	299835
486	283903	299060
487	284479	298470
488	284981	297802
489	285434	297084
490	285971	296454
491	286646	295968
492	287380	295541
493	287776	294766
494	288447	294274
495	289036	293698
496	289702	293199
497	290287	292619
498	290962	292128
499	291484	291484
500	292055	290889
501	292711	290378
502	293245	289748
503	293795	289132
504	294355	288526
505	294828	287836
506	295251	287098
507	295834	286516
508	296315	285836
509	296827	285186
510	297354	284552
511	298086	284113
512	298488	283360
513	299161	282864
514	299580	282128
515	300133	281520
516	300725	280949
517	301245	280309
518	302172	280047
519	302703	279418
520	303161	278722
521	303633	278040
522	304177	277423
523	304676	276767
524	305257	276185
525	305960	275713
526	306576	275162
527	307272	274683
528	307891	274134
529	308498	273573
530	309004	272924
531	309424	272200
532	309892	271519
533	310579	271030
534	310976	270287
535	311638	269776
536	312320	269281
537	312855	268660
538	313416	268061
539	314090	267558
540	314691	266993
541	315428	266542
542	316300	266205
543	316907	265643
544	317495	265065
545	318167	264557
546	318818	264030
547	319512	263539
548	319975	262857
549	320608	262315
550	321125	261679
551	321916	261265
552	322424	260621
553	323130	260137
554	323769	259599
555	324341	259006
556	324996	258480
557	325541	257866
558	326193	257336
559	326756	256736
560	327264	256094
561	327925	255572
562	328608	255065
563	329191	254481
564	329741	253871
565	330318	253283
566	330975	252755
567	331470	252104
568	331982	251466
569	332445	250792
570	333048	250224
571	333522	249558
572	333914	248833
573	334399	248178
574	335078	247666
575	335658	247081
576	336234	246494
577	336829	245920
578	337418	245342
579	337930	244707
580	338557	244157
581	339028	243494
582	339525	242851
583	340047	242225
584	340524	241568
585	340968	240888
586	341558	240312
587	342167	239750
588	342749	239168
589	343381	238620
590	344012	238072
591	344576	237478
592	345229	236945
593	345834	236378
594	346412	235793
595	346999	235214
596	347532	234599
597	348102	234008
598	348807	233509
599	349250	232833
600	349684	232153
601	350186	231518
602	350827	230976
603	351512	230461
604	352075	229867
605	352732	229334
606	353182	228666
607	353659	228017
608	354172	227391
609	354686	226766
610	355160	226116
611	355789	225566
612	356481	225054
613	357221	224572
614	357893	224047
615	358445	223446
616	359011	222854
617	359706	222343
618	360413	221837
619	360988	221250
620	361614	220695
621	361962	219970
622	362436	219323
623	363012	218738
624	363460	218076
625	364078	217516
626	364864	217056
627	365414	216455
628	365925	215831
629	366269	215110
630	366820	214511
631	367411	213936
632	368060	213393
633	368541	212754
634	369270	212257
635	369640	211555
636	370244	210987
637	370629	210294
638	371044	209620
639	371684	209072
640	372178	208443
2
641	351156	195816
642	351699	195267
643	352249	194721
644	352841	194199
645	353498	193712
646	353946	193111
647	354342	192482
648	354844	191911
649	355350	191342
650	355766	190725
651	356214	190126
652	356850	189628
653	357317	189039
654	357567	188337
655	358043	187754
656	358352	187085
657	358732	186453
658	359242	185890
659	359639	185268
13	1583356662	310578	157865
663	310926	1573366664	311408	1568746665	311869	1564036666	312356	1559446667	312768	1554476668	313496	1551086669	313878	1545966670	314262	1540866671	314646	1535776672	315036	153071673	350134	169353
674	350733	168871
675	351259	168355
676	351748	167821
677	352185	167261
678	352683	166732
679	353171	166198
680	353696	165681
681	354034	165077
682	354455	164512
683	355021	164015
684	355417	163439
685	355826	162870
686	356561	162450
687	357084	161933
688	357598	161412
689	357993	160837
690	358392	160265
691	358818	159705
692	359308	159174
693	359881	158679
694	360369	158147
695	360859	157616
696	361374	157096
697	361895	156579
698	362542	156116
699	362896	155527
700	363204	154918
701	363718	154398
702	364237	153881
703	364778	153372
704	365460	152923
705	365836	152345
706	366391	151842
707	366768	151265
708	367257	150735
709	367818	150235
710	368371	149731
711	369129	149310
712	369588	148768
713	370017	148214
714	370506	147684
715	370935	147130
716	371339	146567
717	371696	145986
718	372149	145443
719	372504	144862
720	372997	144335
721	373436	143788
722	373953	143271
723	374409	142730
724	374767	142153
725	375348	141660
726	375727	141091
727	376044	140500
728	376397	139922
729	376788	139360
730	377345	138859
731	377686	138278
732	378313	137803
733	378674	137230
734	379150	136700
735	379575	136152
736	380008	135606
737	380488	135078
738	380968	134550
739	381347	133986

740	343364	120015
741	343705	119509
742	344049	119005
743	344380	118496
744	344819	118025
745	345202	117535
746	345616	117056
747	346130	116610
748	346490	116113
749	346859	115619
67
752	366703	120286
753	367139	119783
754	367626	119296
755	367915	118745
756	368282	118220
757	368659	117698
758	369053	117182
759	369517	116689
760	369967	116192
761	370451	115705
762	370848	115191
763	371317	114700
764	371898	114243
765	372384	113757
766	373032	113320
767	373540	112840
768	374049	112360
769	374426	111841
770	374877	111344
771	375293	110838
772	375731	110337
773	376183	109841
774	376545	109319
775	376805	108768
776	377108	108230
777	377439	107701
778	377719	107157
779	378071	106635
780	378667	106182
781	379176	105704
782	379673	105222
783	380158	104737
784	380598	104240
785	381092	103757
786	381607	103281
787	381849	102731
788	382217	102215
789	382606	101705
790	383111	101226
791	383672	100762
792	384102	100263
793	384580	99777
794	385003	99277
795	385413	98774
796	385971	98309
797	386372	97803
798	386821	97310
799	387207	96801
800	387727	96326
801	388154	95828
802	388618	95339
803	389274	94897
804	389730	94406
805	390198	93918
806	390509	93393
807	390854	92876
808	391361	92398
809	391860	91917
810	392579	91488
811	392941	90976
812	393398	90486
813	393819	89988
814	394163	89472
815	394558	88968
816	394869	88446
817	395162	87921
818	395531	87412
819	396105	86949
820	396562	86461
821	397168	86004
822	397687	85529
823	398023	85014
824	398484	84527
825	398884	84026
826	399310	83531
827	399805	83051
828	400269	82564
829	400649	82060
830	400868	81524
	365792	71758
836	366230	71320
837	366754	70900
838	367171	70458
839	367769	70051
840	368074	69588
841	368507	69149
842	368826	68690
843	369016	68206
844	369367	67753
845	369762	67309
846	370120	66857
847	370528	66415
848	371060	65995
849	371572	65571
850	371934	65121
851	372390	64687
852	372832	64251
853	373282	63816
854	373695	63375
855	374186	62947
856	374663	62516
857	375129	62084
858	375614	61654
859	376091	61224
860	376473	60777
861	376880	60335
862	377345	59903
863	377797	59468
864	378230	59030
865	378578	58579
866	378780	58105
867	379306	57682
868	379560	57218
869	379952	56774
870	380175	56306
871	380468	55848
872	380938	55417
873	381442	54990
874	381805	54543
875	382203	54101
876	382675	53670
877	383106	53233
878	383476	52788
879	383762	52331
880	384047	51874
881	384441	51433
882	384811	50988
883	385199	50546
884	385610	50107
885	386021	49668
886	386509	49239
887	387078	48820
888	387525	48386
889	388078	47964
890	388445	47520
891	389086	47109
892	389553	46676
893	389947	46235
894	390447	45806
895	390867	45368
896	391268	44928
897	391593	44479
898	391974	44037
899	392182	43575
900	392420	43118
901	392971	42695
902	393482	42267
903	393760	41815
904	394105	41370
905	394507	40931
906	395002	40501
907	395347	40057
908	395764	39619
909	396051	39169
910	396302	38716
911	396576	38266
912	396884	37819
913	397182	37371
