iter	Passed	Remaining
0	158	158453
1	312	155717
2	469	155952
3	612	152553
4	754	150152
5	905	149936
6	1047	148611
7	1199	148694
8	1346	148275
9	1495	148100
10	1645	147928
11	1787	147169
12	1919	145715
13	2057	144930
14	2209	145104
15	2339	143871
16	2477	143266
17	2612	142506
18	2747	141868
19	2893	141781
20	3027	141116
21	3165	140729
22	3296	140030
23	3443	140016
24	3587	139898
25	3724	139534
26	3858	139049
27	3998	138807
28	4144	138773
29	4281	138448
30	4372	136682
31	4516	136634
32	4650	136271
33	4789	136077
34	4929	135920
35	5071	135802
36	5209	135591
37	5354	135553
38	5389	132805
39	5534	132828
40	5675	132743
41	5811	132547
42	5970	132883
43	6108	132719
44	6247	132590
45	6396	132656
46	6553	132878
47	6582	130545
48	6718	130389
49	6860	130353
50	6999	130240
51	7145	130268
52	7277	130039
53	7426	130096
54	7572	130111
55	7716	130080
56	7858	130005
57	8004	130010
58	8097	129142
59	8243	129150
60	8392	129184
61	8541	129222
62	8683	129146
63	8765	128195
64	8904	128092
65	9044	127990
66	9182	127870
67	9326	127832
68	9474	127832
69	9521	126506
70	9663	126442
71	9808	126416
72	9949	126345
73	10097	126352
74	10240	126298
75	10388	126300
76	10537	126310
77	10676	126201
78	10812	126059
79	10954	125974
80	11106	126010
81	11249	125939
82	11389	125828
83	11538	125825
84	11683	125769
85	11827	125700
86	11968	125599
87	12055	124936
88	12196	124839
89	12336	124732
90	12477	124635
91	12621	124564
92	12761	124455
93	12811	123484
94	12951	123377
95	13103	123391
96	13249	123339
97	13385	123198
98	13531	123152
99	13686	123181
100	13829	123093
101	13967	122972
102	14123	122999
103	14264	122891
104	14408	122814
105	14557	122775
106	14704	122722
107	14849	122644
108	14998	122603
109	15151	122586
110	15313	122642
111	15477	122714
112	15650	122848
113	15812	122890
114	15967	122882
115	16109	122762
116	16255	122679
117	16399	122579
118	16547	122504
119	16698	122453
120	16844	122369
121	16990	122275
122	17131	122146
123	17276	122048
124	17409	121865
125	17544	121694
126	17697	121652
127	17850	121609
128	18012	121620
129	18167	121584
130	18315	121499
131	18459	121384
132	18604	121277
133	18750	121180
134	18908	121156
135	19067	121134
136	19229	121132
137	19394	121145
138	19538	121025
139	19684	120917
140	19838	120861
141	19997	120831
142	20142	120716
143	20293	120632
144	20432	120482
145	20574	120347
146	20717	120216
147	20860	120086
148	21019	120050
149	21169	119961
150	21309	119812
151	21451	119678
152	21596	119558
153	21746	119466
154	21798	118837
155	21944	118724
156	22095	118638
157	22242	118532
158	22396	118461
159	22535	118313
160	22679	118185
161	22822	118057
